Name,Gender,Department,Annual Salary,Location,Performance,Distance to Office,Age,Tenure in Company,Salary Category,Age Group,Distance Category,Experience,Rating
Alisha Bloschke,Not Revealed,Human Resources,755400,Mumbai,Average,17,33,7.9,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,3
Allene Gobbet,Female,Engineering,300000,New Delhi,Average,8,26,2.9,2LPA - 4LPA,Less than 30,Less than 10km,2-5 Years,3
Allyce Hincham,Male,Sales,762100,Mumbai,Good,29,29,5.9,6LPA - 8LPA,Less than 30,Greater than 20km,5-10 Years,4
Aloisia Minto,Male,Legal,1084600,New Delhi,Good,8,35,2.7,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,4
Alok Abhang,Male,Research and Development,690700,New Delhi,Poor,3,30,7.7,6LPA - 8LPA,Less than 30,Less than 10km,5-10 Years,2
Althea Bronger,Male,Business Development,1165200,Bengaluru,Good,8,27,6.7,Greater than 10 LPA ,Less than 30,Less than 10km,5-10 Years,4
Amaleta Baltzar,Not Revealed,Research and Development,965600,New Delhi,Not Rated,18,26,5.0,8LPA - 10LPA,Less than 30,Between 10-20km,2-5 Years,0
Aman Agrawal,Male,Human Resources,364600,Mumbai,Good,19,26,3.9,2LPA - 4LPA,Less than 30,Between 10-20km,2-5 Years,4
Amandy Jope,Male,Training,509500,New Delhi,Good,5,28,0.2,4LPA - 6LPA,Less than 30,Less than 10km,0-2 Years,4
Amartya Ghosh,Male,Marketing,754400,Bengaluru,Average,13,37,5.7,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,3
Ambrosio Daniely,Female,Sales,847600,New Delhi,Average,22,28,3.8,8LPA - 10LPA,Less than 30,Greater than 20km,2-5 Years,3
Amery Ofer,Female,Engineering,822400,New Delhi,Poor,27,32,0.3,8LPA - 10LPA,Between 31-40,Greater than 20km,0-2 Years,2
Ameya Loke,Female,Human Resources,283300,Bengaluru,Very Poor,5,36,4.2,2LPA - 4LPA,Between 31-40,Less than 10km,2-5 Years,1
Amii Elms,Female,Human Resources,605800,Bengaluru,Very Good,26,32,0.2,6LPA - 8LPA,Between 31-40,Greater than 20km,0-2 Years,5
Amitie Mawson,Female,Support,455100,New Delhi,Very Good,22,41,20.4,4LPA - 6LPA,Greater than 40,Greater than 20km,15+ Years,5
Amol Nar,Male,Human Resources,1107700,Mumbai,Good,18,41,7.0,Greater than 10 LPA ,Greater than 40,Between 10-20km,5-10 Years,4
Amreen Ismat M Khan,Female,Product Management,869200,Mumbai,Average,27,37,7.5,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Anabal Cooke,Female,Training,846800,Bengaluru,Good,24,32,5.5,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,4
Anand Jangir,Male,Research and Development,368600,Bengaluru,Poor,15,40,17.1,2LPA - 4LPA,Between 31-40,Between 10-20km,15+ Years,2
Anand Sheyon,Male,Sales,1140100,New Delhi,Average,15,27,2.5,Greater than 10 LPA ,Less than 30,Between 10-20km,2-5 Years,3
Anandhu Shaji,Female,Services,541300,New Delhi,Very Poor,28,38,3.1,4LPA - 6LPA,Between 31-40,Greater than 20km,2-5 Years,1
Anant Tanwar,Male,Product Management,817200,Mumbai,Very Good,16,35,4.6,8LPA - 10LPA,Between 31-40,Between 10-20km,2-5 Years,5
Ancell Moretto,Female,Human Resources,844700,Bengaluru,Average,22,35,6.3,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Andrea Becker,Female,Marketing,1146000,Bengaluru,Good,8,26,3.8,Greater than 10 LPA ,Less than 30,Less than 10km,2-5 Years,4
Andrea Penfold,Male,Training,1146900,Bengaluru,Very Poor,28,28,4.2,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,1
Angela Bangley,Female,Engineering,573500,New Delhi,Good,19,37,1.6,4LPA - 6LPA,Between 31-40,Between 10-20km,0-2 Years,4
Angeline Christophersen,Female,Accounting,512000,New Delhi,Poor,27,31,7.1,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,2
Aniruddha M Phadke,Male,Human Resources,852600,Bengaluru,Poor,23,33,5.6,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,2
Anjela Spancock,Not Revealed,Services,712300,New Delhi,Very Poor,26,30,6.9,6LPA - 8LPA,Less than 30,Greater than 20km,5-10 Years,1
Anju Tamang,Female,Product Management,1076600,Mumbai,Good,26,38,12.7,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,4
Anne-corinne Daulby,Male,Engineering,752300,New Delhi,Poor,6,39,9.5,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,2
Anni Dinse,Male,Marketing,1080800,Mumbai,Average,29,37,4.7,Greater than 10 LPA ,Between 31-40,Greater than 20km,2-5 Years,3
Anshuman Sen,Male,Legal,284800,New Delhi,Good,23,35,4.6,2LPA - 4LPA,Between 31-40,Greater than 20km,2-5 Years,4
Ansley Gounel,Female,Support,566200,Mumbai,Average,25,37,13.6,4LPA - 6LPA,Between 31-40,Greater than 20km,10-15 Years,3
Anthony Bobby Augustine,Male,Sales,1035500,Mumbai,Average,10,28,5.1,Greater than 10 LPA ,Less than 30,Less than 10km,5-10 Years,3
Antone Tolmie,Male,Business Development,785000,New Delhi,Very Good,24,37,16.7,6LPA - 8LPA,Between 31-40,Greater than 20km,15+ Years,5
Anuja Patil,Female,Legal,939300,New Delhi,Good,12,30,3.7,8LPA - 10LPA,Less than 30,Between 10-20km,2-5 Years,4
Anuradha S Pai,Female,Training,553100,New Delhi,Very Poor,4,34,1.2,4LPA - 6LPA,Between 31-40,Less than 10km,0-2 Years,1
Aparna Bahar Kulkarni,Female,Research and Development,496700,Mumbai,Poor,16,27,1.5,4LPA - 6LPA,Less than 30,Between 10-20km,0-2 Years,2
Apoorva Singh,Female,Product Management,407700,Mumbai,Average,6,31,4.6,4LPA - 6LPA,Between 31-40,Less than 10km,2-5 Years,3
Appolonia Snook,Female,Product Management,1067800,New Delhi,Poor,12,32,1.1,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,2
Apurva Singhai,Male,Human Resources,1007300,New Delhi,Average,10,27,6.9,Greater than 10 LPA ,Less than 30,Less than 10km,5-10 Years,3
Arati Sujeet Naik,Female,Services,746200,New Delhi,Poor,24,40,12.3,6LPA - 8LPA,Between 31-40,Greater than 20km,10-15 Years,2
Archana Nair,Female,Product Management,404500,New Delhi,Average,22,27,0.1,4LPA - 6LPA,Less than 30,Greater than 20km,0-2 Years,3
Archibald Filliskirk,Male,Services,605600,Mumbai,Average,7,37,9.6,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,3
Archibaldo Denny,Female,Legal,1149000,New Delhi,Average,25,27,5.8,Greater than 10 LPA ,Less than 30,Greater than 20km,5-10 Years,3
Ardyce Eacott,Female,Human Resources,698600,New Delhi,Average,13,35,2.5,6LPA - 8LPA,Between 31-40,Between 10-20km,2-5 Years,3
Arpita Gurbaxani,Female,Services,513200,New Delhi,Very Poor,18,39,8.6,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,1
Arti Yadav,Female,Training,1036000,Bengaluru,Good,22,28,6.6,Greater than 10 LPA ,Less than 30,Greater than 20km,5-10 Years,4
Arundhati Reddy,Female,Marketing,535400,New Delhi,Poor,10,35,9.5,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,2
Arya,Male,Sales,987400,Mumbai,Poor,15,40,12.8,8LPA - 10LPA,Between 31-40,Between 10-20km,10-15 Years,2
Ashem Roja Devi,Female,Support,1150900,New Delhi,Average,9,40,0.4,Greater than 10 LPA ,Between 31-40,Less than 10km,0-2 Years,3
Ashien Gallen,Female,Marketing,519100,New Delhi,Good,4,38,8.5,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,4
Ashish Srivas,Male,Accounting,340800,New Delhi,Not Rated,6,41,7.9,2LPA - 4LPA,Greater than 40,Less than 10km,5-10 Years,0
Ashish Tiwari,Male,Services,886900,Bengaluru,Poor,13,40,16.0,8LPA - 10LPA,Between 31-40,Between 10-20km,15+ Years,2
Asmita Agrawal,Female,Human Resources,359400,New Delhi,Average,6,39,3.1,2LPA - 4LPA,Between 31-40,Less than 10km,2-5 Years,3
Astha Gupta,Female,Legal,1091900,Mumbai,Average,14,34,0.1,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,3
Atul Nainwal,Male,Marketing,896100,Bengaluru,Good,6,28,7.0,8LPA - 10LPA,Less than 30,Less than 10km,5-10 Years,4
Aubert Wedmore.,Female,Support,1097600,Mumbai,Good,14,36,1.0,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,4
Augusta Cheetham,Male,Marketing,1083900,Bengaluru,Poor,23,31,9.9,Greater than 10 LPA ,Between 31-40,Greater than 20km,5-10 Years,2
Aurelea Devitt,Male,Research and Development,298800,Bengaluru,Very Poor,21,33,11.6,2LPA - 4LPA,Between 31-40,Greater than 20km,10-15 Years,1
Austine Littlewood,Female,Support,680900,New Delhi,Average,15,31,0.8,6LPA - 8LPA,Between 31-40,Between 10-20km,0-2 Years,3
Ava Whordley,Female,Services,872100,Mumbai,Not Rated,18,30,8.2,8LPA - 10LPA,Less than 30,Between 10-20km,5-10 Years,0
Avanti Santosh Chinmulgund,Female,Engineering,908000,Mumbai,Average,17,39,15.9,8LPA - 10LPA,Between 31-40,Between 10-20km,15+ Years,3
Avigdor Karel,Male,Training,1029300,New Delhi,Good,11,33,7.0,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,4
Avinash Koul,Male,Product Management,290800,New Delhi,Average,1,38,12.8,2LPA - 4LPA,Between 31-40,Less than 10km,10-15 Years,3
Avinash Mishra,Male,Research and Development,444500,Mumbai,Very Good,15,31,2.8,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,5
Avinash Singh,Male,Services,971200,New Delhi,Average,24,33,5.4,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Aziz Ahmmad,Male,Support,588400,Mumbai,Average,1,40,13.8,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,3
Barnaby Farnall,Not Revealed,Business Development,770600,New Delhi,Good,15,30,3.9,6LPA - 8LPA,Less than 30,Between 10-20km,2-5 Years,4
Barney Bonafant,Female,Support,900800,New Delhi,Average,27,34,6.8,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Barny Fairweather,Male,Product Management,358300,New Delhi,Average,28,26,4.7,2LPA - 4LPA,Less than 30,Greater than 20km,2-5 Years,3
Barri Teacy,Female,Legal,371100,New Delhi,Average,23,26,4.9,2LPA - 4LPA,Less than 30,Greater than 20km,2-5 Years,3
Baudoin Dummigan,Male,Training,1127800,Mumbai,Poor,26,40,8.3,Greater than 10 LPA ,Between 31-40,Greater than 20km,5-10 Years,2
Bayard Gendricke,Male,Engineering,960000,New Delhi,Average,2,31,4.1,8LPA - 10LPA,Between 31-40,Less than 10km,2-5 Years,3
Beatriz Bateson,Male,Product Management,1125500,New Delhi,Average,6,41,5.3,Greater than 10 LPA ,Greater than 40,Less than 10km,5-10 Years,3
Bendite Bloan,Male,Training,883300,New Delhi,Poor,19,30,4.0,8LPA - 10LPA,Less than 30,Between 10-20km,2-5 Years,2
Benni Simounet,Male,Training,1167700,Bengaluru,Good,4,36,9.4,Greater than 10 LPA ,Between 31-40,Less than 10km,5-10 Years,4
Benoite Ackermann,Female,Marketing,402700,New Delhi,Average,1,39,16.4,4LPA - 6LPA,Between 31-40,Less than 10km,15+ Years,3
Berenice Osbaldstone,Female,Business Development,966400,New Delhi,Very Good,24,27,3.7,8LPA - 10LPA,Less than 30,Greater than 20km,2-5 Years,5
Beryl Burnsyde,Male,Business Development,1181000,Bengaluru,Average,22,28,6.7,Greater than 10 LPA ,Less than 30,Greater than 20km,5-10 Years,3
Bethanne Leicester,Not Revealed,Engineering,436000,Mumbai,Average,16,32,6.3,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,3
Bev Lashley,Male,Legal,545200,Mumbai,Poor,26,40,2.3,4LPA - 6LPA,Between 31-40,Greater than 20km,2-5 Years,2
Beverie Moffet,Female,Research and Development,577500,Mumbai,Average,20,28,1.1,4LPA - 6LPA,Less than 30,Between 10-20km,0-2 Years,3
Bhalsing Prajwal Vitthal,Male,Training,999700,Bengaluru,Average,24,30,8.2,8LPA - 10LPA,Less than 30,Greater than 20km,5-10 Years,3
Bhaurkar Vyankatesh Prabhakar,Male,Sales,622000,New Delhi,Very Good,18,36,12.2,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,5
Bhavthankar Aniket Udayrao,Male,Human Resources,429900,New Delhi,Average,23,34,1.8,4LPA - 6LPA,Between 31-40,Greater than 20km,0-2 Years,3
Bhise Sanjeev Suresh,Male,Support,1178100,Mumbai,Average,22,38,14.3,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,3
Bhumika Makhija,Female,Services,581300,New Delhi,Average,12,32,5.9,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,3
Bili Sizey,Male,Services,868400,Mumbai,Average,7,39,3.0,8LPA - 10LPA,Between 31-40,Less than 10km,2-5 Years,3
Bobina Teale,Male,Product Management,417000,Bengaluru,Good,19,32,1.2,4LPA - 6LPA,Between 31-40,Between 10-20km,0-2 Years,4
Bogey Hitcham,Male,Human Resources,728800,New Delhi,Average,26,37,7.1,6LPA - 8LPA,Between 31-40,Greater than 20km,5-10 Years,3
Bokil Rohit Milind,Male,Accounting,1171500,Mumbai,Average,12,27,6.3,Greater than 10 LPA ,Less than 30,Between 10-20km,5-10 Years,3
Brad Gumb,Male,Human Resources,970200,New Delhi,Poor,26,38,8.7,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,2
Bren Absolon,Male,Training,675100,New Delhi,Not Rated,5,37,4.1,6LPA - 8LPA,Between 31-40,Less than 10km,2-5 Years,0
Brendan Edgeller,Female,Human Resources,348300,New Delhi,Average,17,28,5.4,2LPA - 4LPA,Less than 30,Between 10-20km,5-10 Years,3
Brien Boise,Female,Legal,387300,Mumbai,Average,9,32,10.6,2LPA - 4LPA,Between 31-40,Less than 10km,10-15 Years,3
Brig Dewi,Male,Services,967900,Bengaluru,Good,14,34,12.6,8LPA - 10LPA,Between 31-40,Between 10-20km,10-15 Years,4
Brodie Grimstead,Male,Engineering,680400,New Delhi,Good,3,30,7.3,6LPA - 8LPA,Less than 30,Less than 10km,5-10 Years,4
Bryana Loyns,Male,Business Development,885100,Bengaluru,Average,28,28,4.5,8LPA - 10LPA,Less than 30,Greater than 20km,2-5 Years,3
Burhanuddin Bohra,Male,Human Resources,653500,Mumbai,Very Poor,9,39,5.8,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,1
Callie Duckels,Male,Product Management,520000,Bengaluru,Not Rated,18,37,4.3,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,0
Calvin O'Carroll,Female,Human Resources,857400,Bengaluru,Average,2,38,11.0,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,3
Candy Aindrais,Female,Research and Development,925000,Bengaluru,Good,15,40,17.3,8LPA - 10LPA,Between 31-40,Between 10-20km,15+ Years,4
Carlene Torry,Female,Sales,807700,Mumbai,Very Good,15,34,12.8,8LPA - 10LPA,Between 31-40,Between 10-20km,10-15 Years,5
Carlin Demke,Male,Product Management,678200,New Delhi,Not Rated,20,28,1.1,6LPA - 8LPA,Less than 30,Between 10-20km,0-2 Years,0
Carmel Pancoust,Female,Engineering,480600,Mumbai,Poor,25,34,1.3,4LPA - 6LPA,Between 31-40,Greater than 20km,0-2 Years,2
Caro Hainsworth,Male,Training,568300,New Delhi,Very Good,14,40,0.1,4LPA - 6LPA,Between 31-40,Between 10-20km,0-2 Years,5
Carolin Fieldstone,Female,Product Management,725000,Bengaluru,Very Poor,28,33,6.8,6LPA - 8LPA,Between 31-40,Greater than 20km,5-10 Years,1
Carolina Blumsom,Male,Services,570800,Mumbai,Average,24,37,9.6,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Carolyn Attack,Female,Product Management,1040800,Mumbai,Very Poor,20,39,14.0,Greater than 10 LPA ,Between 31-40,Between 10-20km,10-15 Years,1
Caron Kolakovic,Male,Legal,297700,Bengaluru,Good,8,34,1.8,2LPA - 4LPA,Between 31-40,Less than 10km,0-2 Years,4
Carry Loblie,Female,Legal,486900,Bengaluru,Average,17,28,0.3,4LPA - 6LPA,Less than 30,Between 10-20km,0-2 Years,3
Cathi Gillbee,Male,Research and Development,700800,Bengaluru,Very Poor,11,28,6.2,6LPA - 8LPA,Less than 30,Between 10-20km,5-10 Years,1
Cathrin Yanuk,Male,Business Development,691900,Mumbai,Average,24,33,8.5,6LPA - 8LPA,Between 31-40,Greater than 20km,5-10 Years,3
Cecilio Sprankling,Male,Services,379200,Mumbai,Average,2,39,2.1,2LPA - 4LPA,Between 31-40,Less than 10km,2-5 Years,3
Cecilla Joselevitch,Female,Accounting,891200,Bengaluru,Good,5,30,5.1,8LPA - 10LPA,Less than 30,Less than 10km,5-10 Years,4
Cecilla Northen,Male,Legal,481400,Mumbai,Very Good,29,30,7.6,4LPA - 6LPA,Less than 30,Greater than 20km,5-10 Years,5
Chaitali Ghadi,Female,Support,693400,Bengaluru,Average,25,39,16.6,6LPA - 8LPA,Between 31-40,Greater than 20km,15+ Years,3
Chandra Prakash,Male,Human Resources,713300,New Delhi,Very Good,6,32,5.3,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,5
Charan Rawat,Male,Marketing,676200,Mumbai,Good,20,40,13.8,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,4
Charline Husset,Male,Product Management,697400,Bengaluru,Not Rated,2,33,4.1,6LPA - 8LPA,Between 31-40,Less than 10km,2-5 Years,0
Charmaine Howie,Male,Engineering,443000,Bengaluru,Good,22,37,11.4,4LPA - 6LPA,Between 31-40,Greater than 20km,10-15 Years,4
Chati Vinay Dattatraya,Male,Business Development,405600,Bengaluru,Poor,22,31,6.8,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,2
Chaudhari Deptii Devendra,Female,Sales,1152300,Mumbai,Good,8,34,12.9,Greater than 10 LPA ,Between 31-40,Less than 10km,10-15 Years,4
Chavan Priyanka Ramdas,Female,Training,397500,New Delhi,Average,22,31,10.0,2LPA - 4LPA,Between 31-40,Greater than 20km,5-10 Years,3
Chelsea Itzak,Male,Research and Development,1089700,Mumbai,Average,20,39,9.9,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,3
Cherlyn Barter,Female,Engineering,1125700,Mumbai,Poor,12,35,0.9,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,2
Chetan Deepak Nerkar,Male,Accounting,568100,New Delhi,Poor,27,27,3.8,4LPA - 6LPA,Less than 30,Greater than 20km,2-5 Years,2
Chodankar Bindiya Govind,Female,Business Development,429500,Mumbai,Poor,19,31,2.5,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,2
Christoph Stretton,Female,Services,428200,New Delhi,Average,27,34,6.6,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Christos Wintle,Male,Sales,570800,New Delhi,Average,24,40,6.9,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Cindee Saice,Female,Marketing,1016700,New Delhi,Average,6,34,9.8,Greater than 10 LPA ,Between 31-40,Less than 10km,5-10 Years,3
Cindi Stratten,Female,Marketing,1047500,New Delhi,Average,16,29,6.5,Greater than 10 LPA ,Less than 30,Between 10-20km,5-10 Years,3
Cletus McGarahan,Female,Engineering,433300,Mumbai,Very Good,21,28,6.5,4LPA - 6LPA,Less than 30,Greater than 20km,5-10 Years,5
Clifford Francis Nicholas,Male,Accounting,614300,New Delhi,Poor,7,28,3.3,6LPA - 8LPA,Less than 30,Less than 10km,2-5 Years,2
Codi Beck,Female,Product Management,1058000,New Delhi,Very Good,11,36,14.7,Greater than 10 LPA ,Between 31-40,Between 10-20km,10-15 Years,5
Codie Gaunson,Male,Training,994700,New Delhi,Good,24,39,13.9,8LPA - 10LPA,Between 31-40,Greater than 20km,10-15 Years,4
Col Sv Damle,Male,Accounting,688900,New Delhi,Good,17,36,4.4,6LPA - 8LPA,Between 31-40,Between 10-20km,2-5 Years,4
Colby Reuven,Male,Engineering,869400,New Delhi,Average,25,36,2.1,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,3
Collet D'Mello,Female,Support,1181200,Bengaluru,Average,14,28,4.7,Greater than 10 LPA ,Less than 30,Between 10-20km,2-5 Years,3
Collette Blackaller,Female,Marketing,911200,New Delhi,Poor,24,38,7.6,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,2
Collin Jagson,Male,Research and Development,414200,Mumbai,Good,16,36,14.3,4LPA - 6LPA,Between 31-40,Between 10-20km,10-15 Years,4
Conchita Soden,Male,Training,860100,New Delhi,Average,27,36,12.3,8LPA - 10LPA,Between 31-40,Greater than 20km,10-15 Years,3
Constantino Espley,Male,Support,300800,Mumbai,Average,16,33,12.4,2LPA - 4LPA,Between 31-40,Between 10-20km,10-15 Years,3
Corabel Luberto,Female,Accounting,968000,Mumbai,Average,29,33,9.4,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Cordelia Djuricic,Female,Legal,310900,Bengaluru,Average,20,32,1.9,2LPA - 4LPA,Between 31-40,Between 10-20km,0-2 Years,3
Corina Triner,Male,Training,961400,Bengaluru,Good,20,36,3.9,8LPA - 10LPA,Between 31-40,Between 10-20km,2-5 Years,4
Corinna Griffiths,Male,Research and Development,986400,New Delhi,Good,15,31,3.6,8LPA - 10LPA,Between 31-40,Between 10-20km,2-5 Years,4
Cornie Arstall,Female,Sales,715100,Bengaluru,Good,13,35,11.7,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,4
Craggie Whistlecraft,Male,Legal,864900,New Delhi,Poor,19,32,0.2,8LPA - 10LPA,Between 31-40,Between 10-20km,0-2 Years,2
Crissie Cordel,Female,Engineering,1032400,New Delhi,Good,19,39,0.7,Greater than 10 LPA ,Between 31-40,Between 10-20km,0-2 Years,4
Cristal Demangeot,Female,Sales,475500,New Delhi,Average,19,36,11.6,4LPA - 6LPA,Between 31-40,Between 10-20km,10-15 Years,3
Cullie Bourcq,Female,Sales,784900,Mumbai,Average,17,28,7.0,6LPA - 8LPA,Less than 30,Between 10-20km,5-10 Years,3
Cyrillus Garci,Male,Engineering,610500,Mumbai,Average,8,38,3.7,6LPA - 8LPA,Between 31-40,Less than 10km,2-5 Years,3
Daisie Dahlman,Female,Product Management,363700,Bengaluru,Good,17,30,4.7,2LPA - 4LPA,Less than 30,Between 10-20km,2-5 Years,4
Daisie McNeice,Male,Business Development,472900,Mumbai,Average,26,37,9.3,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Daisy Antony,Female,Sales,796500,New Delhi,Good,14,35,8.5,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,4
Daksh Chopra,Male,Product Management,1196600,Mumbai,Average,18,40,6.8,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,3
Damayanti Chandrakant Dhamale,Female,Support,432000,Mumbai,Average,16,39,15.9,4LPA - 6LPA,Between 31-40,Between 10-20km,15+ Years,3
Damien Netley,Male,Product Management,898300,New Delhi,Very Good,20,35,15.0,8LPA - 10LPA,Between 31-40,Between 10-20km,10-15 Years,5
Dane Wudeland,Female,Accounting,915000,Bengaluru,Poor,4,38,7.6,8LPA - 10LPA,Between 31-40,Less than 10km,5-10 Years,2
Dangmei Grace,Female,Services,296700,Bengaluru,Very Good,15,34,4.6,2LPA - 4LPA,Between 31-40,Between 10-20km,2-5 Years,5
